"record_identifier","ecommons_entity_name","ecommons_title","ecommons_title_year","ecommons_subject","ecommons_publisher","search_url","OCLC_result1_preflabel","OCLC_result1_birthdate","OCLC_result1_deathdate","OCLC_result1_score","OCLC_result1_subject","OCLC_result1_subject_CUL_score","OCLC_result1_OCLC_URI","OCLC_result1_LoC_preflabel","OCLC_result1_LoC_URI","OCLC_result1_LoC_birthdate","OCLC_result1_LoC_deathdate","OCLC_result1_LoC_affiliation_CUL_score","OCLC_result1_VIAF_URI","OCLC_result1_VIAF_title_CUL_score","OCLC_result1_VIAF_affiliation_CUL_score","OCLC_result1_ISNI_URI","OCLC_result1_Wiki_URI","OCLC_result2_Wiki_affiliation_CUL_score","OCLC_result2_preflabel","OCLC_result2_birthdate","OCLC_result2_deathdate","OCLC_result2_score","OCLC_result2_subject","OCLC_result2_subject_CUL_score","OCLC_result2_OCLC_URI","OCLC_result2_LoC_preflabel","OCLC_result2_LoC_URI","OCLC_result2_LoC_birthdate","OCLC_result2_LoC_deathdate","OCLC_result2_LoC_affiliation_CUL_score","OCLC_result2_VIAF_URI","OCLC_result2_VIAF_title_CUL_score","OCLC_result2_VIAF_affiliation_CUL_score","OCLC_result2_ISNI_URI","OCLC_result2_Wiki_URI","OCLC_result2_Wiki_affiliation_CUL_score"
"oai:ecommons.cornell.edu:1813/66","Craven, Scott R.","Managing Canada Geese in Urban Environments","2000","['Canada goose management', 'Canada goose biology', 'Canada goose habitats', 'Canada goose reproduction management']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Craven%2C%20Scott%20R.","Scott R. Craven","","","776.52","Canada goose","75","http://worldcat.org/entity/person/id/2636110260","Craven, Scott","http://id.loc.gov/authorities/names/no2014069194","","","","http://viaf.org/viaf/62850735","46","","http://isni.org/isni/0000000021703937","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/66","Curtis, Paul D.","Managing Canada Geese in Urban Environments","2000","['Canada goose management', 'Canada goose biology', 'Canada goose habitats', 'Canada goose reproduction management']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Curtis%2C%20Paul%20D.","Curtiss Paul DeYoung","1957","","198.31789","Race relations--Religious aspects--Christianity","37","http://worldcat.org/entity/person/id/2634829137","DeYoung, Curtiss Paul","http://id.loc.gov/authorities/names/n94103152","","","","http://viaf.org/viaf/161692436","42","","http://isni.org/isni/000000011482747X","","","Paul D. Curtis","","","153.7004","Wildlife pests--Control","37","http://worldcat.org/entity/person/id/2636042485","Curtis, Paul D.","http://id.loc.gov/authorities/names/nr2002034259","","","","http://viaf.org/viaf/44237716","47","","http://isni.org/isni/000000004917095X","",""
"oai:ecommons.cornell.edu:1813/67","Eames-Sheavly, Marcia","Cornell Guide to Growing Fruit at Home","2003","['tree fruits', 'grapes', 'strawberries', 'brambles', 'blueberries', 'currants', 'gooseberries', 'elderberries', 'kiwi fruit', 'pruning', 'pest management']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Eames-Sheavly%2C%20Marcia","Marcia Eames-Sheavly","","","383.03333","Raspberries","78","http://worldcat.org/entity/person/id/2634185873","Eames-Sheavly, Marcia","http://id.loc.gov/authorities/names/nr94037108","","","","http://viaf.org/viaf/54033835","43","","http://isni.org/isni/0000000049440139","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/67","Pritts, Marvin","Cornell Guide to Growing Fruit at Home","2003","['tree fruits', 'grapes', 'strawberries', 'brambles', 'blueberries', 'currants', 'gooseberries', 'elderberries', 'kiwi fruit', 'pruning', 'pest management']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Pritts%2C%20Marvin","Marvin Paul Pritts","","","143.40457","Raspberries","78","http://worldcat.org/entity/person/id/2639924064","Pritts, Marvin Paul","http://id.loc.gov/authorities/names/n88630394","","","","http://viaf.org/viaf/45879808","37","","http://isni.org/isni/0000000031322900","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/67","Cramer, Craig","Cornell Guide to Growing Fruit at Home","2003","['tree fruits', 'grapes', 'strawberries', 'brambles', 'blueberries', 'currants', 'gooseberries', 'elderberries', 'kiwi fruit', 'pruning', 'pest management']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Cramer%2C%20Craig","Craig Cramer","","","240.86977","Organ music","9","http://worldcat.org/entity/person/id/2636154488","Cramer, Craig","http://id.loc.gov/authorities/names/n85184109","","","","http://viaf.org/viaf/3912649","40","","http://isni.org/isni/000000003466560X","","","Craig Jay Cramer","","","239.20859","Organ music","9","http://worldcat.org/entity/person/id/2638053330","Cramer, Craig Jay","http://id.loc.gov/authorities/names/n86807587","","","","http://viaf.org/viaf/35945830","43","","","",""
"oai:ecommons.cornell.edu:1813/67","Bushway, Lori","Cornell Guide to Growing Fruit at Home","2003","['tree fruits', 'grapes', 'strawberries', 'brambles', 'blueberries', 'currants', 'gooseberries', 'elderberries', 'kiwi fruit', 'pruning', 'pest management']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Bushway%2C%20Lori","Lori J. Bushway","1971","","17.81232","Raspberries","78","http://worldcat.org/entity/person/id/2629071749","Bushway, Lori J., 1971-","http://id.loc.gov/authorities/names/no2008019790","1971","","","http://viaf.org/viaf/19479523","35","","http://isni.org/isni/0000000054194657","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/67","Merwin, Ian","Cornell Guide to Growing Fruit at Home","2003","['tree fruits', 'grapes', 'strawberries', 'brambles', 'blueberries', 'currants', 'gooseberries', 'elderberries', 'kiwi fruit', 'pruning', 'pest management']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Merwin%2C%20Ian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/67","Reisinger, Richard","Cornell Guide to Growing Fruit at Home","2003","['tree fruits', 'grapes', 'strawberries', 'brambles', 'blueberries', 'currants', 'gooseberries', 'elderberries', 'kiwi fruit', 'pruning', 'pest management']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Reisinger%2C%20Richard","Richard D. Reisinger","","","20.415434","Trees in cities","62","http://worldcat.org/entity/person/id/2642011457","Reisinger, Richard D.","http://id.loc.gov/authorities/names/n85826779","","","","http://viaf.org/viaf/43311351","37","","","","","Richard Reisinger","1964","","8.506431","","62","http://worldcat.org/entity/person/id/2639321031","","","","","","http://viaf.org/viaf/243056799","","","","http://www.wikidata.org/entity/Q2150432",""
"oai:ecommons.cornell.edu:1813/67","McKay, Steven","Cornell Guide to Growing Fruit at Home","2003","['tree fruits', 'grapes', 'strawberries', 'brambles', 'blueberries', 'currants', 'gooseberries', 'elderberries', 'kiwi fruit', 'pruning', 'pest management']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=McKay%2C%20Steven","Steven McKay","1900","","419.95468","Revenge","43","http://worldcat.org/entity/person/id/2638105334","McKay, Steven","http://id.loc.gov/authorities/names/no2011075687","","","","http://viaf.org/viaf/32192098","41","","http://isni.org/isni/0000000119481463","","","Steven F. McKay","","","219.6686","Social security","43","http://worldcat.org/entity/person/id/2640867772","McKay, Steven F.","http://id.loc.gov/authorities/names/n80053484","","","","http://viaf.org/viaf/18519452","40","","http://isni.org/isni/0000000030516295","",""
"oai:ecommons.cornell.edu:1813/68","Gussack, Eva","The Homeowner's Lawn Care and Water Quality Almanac","2000","['weed control', 'core aeration', 'grass selection', 'lawn equipment maintenance', 'lawn fertilization', 'growing grass in shade', 'growing grass in sun', 'lawn insect pests', 'lawn diseases', 'proper pesticide use', 'lawn watering', 'lawn mowing', 'water quality assessment', 'yard waste', 'identifying pollutants']","['Cornell Cooperative Extension']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Gussack%2C%20Eva","Eva Gussack","1956","","88.59938","Turfgrasses--Diseases and pests","47","http://worldcat.org/entity/person/id/2636417684","Gussack, Eva, 1956-","http://id.loc.gov/authorities/names/n00009205","1956","","","http://viaf.org/viaf/8613751","31","","http://isni.org/isni/0000000022241607","","","","","","","","","","","","","","","","","","","",""
